GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
1400000US25017383400,25017383400,"Census Tract 3834, Middlesex County, Massachusetts",1383,178,122,83,74,78,246,124,169,122,137,102,64,65,92,87,151,130,328,140,0,17
1400000US25017383501,25017383501,"Census Tract 3835.01, Middlesex County, Massachusetts",1613,141,12,19,130,72,346,143,173,71,230,109,216,97,81,71,81,48,301,121,43,38
1400000US25017383502,25017383502,"Census Tract 3835.02, Middlesex County, Massachusetts",298,87,0,12,0,12,0,12,38,32,59,44,63,58,23,22,56,56,54,41,5,9
1400000US25017383600,25017383600,"Census Tract 3836, Middlesex County, Massachusetts",1081,144,12,18,142,118,132,89,48,48,63,68,76,68,134,102,53,79,388,170,33,31
1400000US25017383700,25017383700,"Census Tract 3837, Middlesex County, Massachusetts",320,117,0,17,9,15,55,51,0,17,72,45,30,23,0,17,42,70,102,87,10,18
1400000US25017383800,25017383800,"Census Tract 3838, Middlesex County, Massachusetts",293,103,0,17,19,30,0,17,101,103,0,17,22,33,13,21,22,30,50,44,66,76
1400000US25017383901,25017383901,"Census Tract 3839.01, Middlesex County, Massachusetts",437,136,40,63,51,48,31,36,32,39,146,110,15,24,0,17,26,31,65,52,31,38
1400000US25017383902,25017383902,"Census Tract 3839.02, Middlesex County, Massachusetts",116,69,0,17,0,17,5,9,37,54,39,45,4,8,0,17,0,17,20,21,11,16
1400000US25017384001,25017384001,"Census Tract 3840.01, Middlesex County, Massachusetts",78,47,0,12,0,12,0,12,18,17,5,10,26,36,8,13,21,32,0,12,0,12
1400000US25017384002,25017384002,"Census Tract 3840.02, Middlesex County, Massachusetts",1865,153,111,121,305,148,166,102,262,142,182,102,43,41,0,17,17,28,716,190,63,51
1400000US25017385100,25017385100,"Census Tract 3851, Middlesex County, Massachusetts",534,156,35,41,28,35,112,93,77,95,138,92,32,38,48,52,0,17,14,23,50,74
1400000US25017385201,25017385201,"Census Tract 3852.01, Middlesex County, Massachusetts",347,97,0,12,0,12,20,24,98,88,16,16,28,22,6,11,44,47,96,68,39,49
1400000US25017385202,25017385202,"Census Tract 3852.02, Middlesex County, Massachusetts",428,159,11,18,21,24,28,31,144,129,103,83,20,32,0,17,0,17,71,53,30,36
1400000US25017386100,25017386100,"Census Tract 3861, Middlesex County, Massachusetts",167,53,9,15,8,12,9,15,28,27,10,14,53,48,0,12,7,12,24,22,19,20
1400000US25017387100,25017387100,"Census Tract 3871, Middlesex County, Massachusetts",273,87,0,12,25,36,25,27,77,50,54,39,0,12,0,12,8,13,73,71,11,16
1400000US25017387201,25017387201,"Census Tract 3872.01, Middlesex County, Massachusetts",516,137,0,17,58,57,0,17,101,91,106,82,17,26,87,89,13,23,30,35,104,89
1400000US25017387202,25017387202,"Census Tract 3872.02, Middlesex County, Massachusetts",127,56,0,12,19,32,0,12,26,29,0,12,0,12,0,12,49,44,33,29,0,12
1400000US25017388100,25017388100,"Census Tract 3881, Middlesex County, Massachusetts",477,111,82,72,87,56,52,42,43,27,55,57,38,29,9,11,29,32,72,43,10,16
1400000US25017388200,25017388200,"Census Tract 3882, Middlesex County, Massachusetts",771,244,0,17,41,38,133,132,56,50,159,90,90,81,93,89,26,30,157,124,16,26
1400000US25017388300,25017388300,"Census Tract 3883, Middlesex County, Massachusetts",1682,119,38,50,84,73,167,73,233,109,394,114,128,64,119,76,91,55,392,111,36,31
1400000US25017980000,25017980000,"Census Tract 9800, Middlesex County, Massachusetts",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US25021400100,25021400100,"Census Tract 4001, Norfolk County, Massachusetts",1305,184,27,31,97,77,108,64,179,86,207,98,119,71,121,67,41,69,226,94,180,126
1400000US25021400200,25021400200,"Census Tract 4002, Norfolk County, Massachusetts",1556,214,53,49,57,42,262,147,102,65,171,103,141,93,118,103,90,73,477,149,85,62
1400000US25021400300,25021400300,"Census Tract 4003, Norfolk County, Massachusetts",810,106,0,12,72,39,149,63,46,31,119,57,163,88,20,32,70,71,143,63,28,35
1400000US25021400400,25021400400,"Census Tract 4004, Norfolk County, Massachusetts",1662,183,33,40,49,45,151,82,199,119,111,54,98,70,111,90,120,83,709,162,81,73
