GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - Built 2010 or later,Margin of Error; Median gross rent -- - Total: - Built 2010 or later,Estimate; Median gross rent -- - Total: - Built 2000 to 2009,Margin of Error; Median gross rent -- - Total: - Built 2000 to 2009,Estimate; Median gross rent -- - Total: - Built 1990 to 1999,Margin of Error; Median gross rent -- - Total: - Built 1990 to 1999,Estimate; Median gross rent -- - Total: - Built 1980 to 1989,Margin of Error; Median gross rent -- - Total: - Built 1980 to 1989,Estimate; Median gross rent -- - Total: - Built 1970 to 1979,Margin of Error; Median gross rent -- - Total: - Built 1970 to 1979,Estimate; Median gross rent -- - Total: - Built 1960 to 1969,Margin of Error; Median gross rent -- - Total: - Built 1960 to 1969,Estimate; Median gross rent -- - Total: - Built 1950 to 1959,Margin of Error; Median gross rent -- - Total: - Built 1950 to 1959,Estimate; Median gross rent -- - Total: - Built 1940 to 1949,Margin of Error; Median gross rent -- - Total: - Built 1940 to 1949,Estimate; Median gross rent -- - Total: - Built 1939 or earlier,Margin of Error; Median gross rent -- - Total: - Built 1939 or earlier
1400000US25017368300,25017368300,"Census Tract 3683, Middlesex County, Massachusetts",1167,85,-,**,-,**,-,**,1090,1391,938,536,1088,54,1319,513,1583,1370,1206,161
1400000US25017368400,25017368400,"Census Tract 3684, Middlesex County, Massachusetts",1529,133,-,**,1860,355,-,**,1482,403,1463,306,1683,177,1514,433,1381,803,1280,214
1400000US25017368500,25017368500,"Census Tract 3685, Middlesex County, Massachusetts",1179,72,-,**,"2,000+",***,"2,000+",***,1077,814,1035,374,348,1255,1167,176,1335,88,1126,96
1400000US25017368600,25017368600,"Census Tract 3686, Middlesex County, Massachusetts",1170,82,-,**,-,**,-,**,-,**,1179,125,829,631,1265,278,1461,284,1158,106
1400000US25017368700,25017368700,"Census Tract 3687, Middlesex County, Massachusetts",1218,107,-,**,-,**,1036,1201,850,817,-,**,1017,465,1380,94,1125,366,1287,243
1400000US25017368800,25017368800,"Census Tract 3688, Middlesex County, Massachusetts",1037,87,-,**,-,**,1025,442,-,**,1230,117,1048,268,1014,170,1270,363,985,70
1400000US25017368901,25017368901,"Census Tract 3689.01, Middlesex County, Massachusetts",1625,118,-,**,"2,000+",***,-,**,1654,431,1565,185,-,**,1730,56,-,**,-,**
1400000US25017368902,25017368902,"Census Tract 3689.02, Middlesex County, Massachusetts",1572,91,-,**,524,134,1823,620,1675,103,1648,136,1693,74,1199,313,1704,96,1383,188
1400000US25017369000,25017369000,"Census Tract 3690, Middlesex County, Massachusetts",1818,749,-,**,"2,000+",***,-,**,-,**,-,**,-,**,-,**,-,**,-,**
1400000US25017369100,25017369100,"Census Tract 3691, Middlesex County, Massachusetts",1323,150,-,**,-,**,1588,293,1246,135,-,**,1356,272,-,**,-,**,-,**
1400000US25017370101,25017370101,"Census Tract 3701.01, Middlesex County, Massachusetts",1481,144,-,**,-,**,"2,000+",***,863,785,332,1485,1602,244,1493,210,1313,726,1485,284
1400000US25017370102,25017370102,"Census Tract 3701.02, Middlesex County, Massachusetts",1512,136,"2,000+",***,1759,207,1466,1433,"2,000+",***,555,315,1593,270,1694,461,1349,341,1432,138
1400000US25017370201,25017370201,"Census Tract 3702.01, Middlesex County, Massachusetts",1728,103,-,**,-,**,-,**,-,**,1750,520,1713,91,-,**,1964,754,1712,170
1400000US25017370202,25017370202,"Census Tract 3702.02, Middlesex County, Massachusetts",1723,222,-,**,-,**,-,**,-,**,1352,239,1759,351,"2,000+",***,1494,295,1761,319
